,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized
,,,,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,19.16190476190476,4.750615188709965,15.828446151670956,3.8686405356230393
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,47.714285714285715,5.214970600813292,42.47546433025882,4.691499493406826
esnli,t5-base,standard,16,76.84657671164418,2.626856087037272,70.26918981133075,2.394671946451197
esnli,t5-large,standard,16,84.67598097502972,1.7203253617376608,77.55864456449525,1.6018526236158772
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,56.41428571428571,2.8734889551745626,52.66597618432272,3.0292407521623
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,61.68333333333333,3.4491043564493666,59.16127681760561,3.5060778588566186
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,54.72380952380953,2.658559103713232,50.054291338012334,2.427803899490936
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,71.31428571428572,3.7515348332971903,65.65975443678242,3.4868219268961296
