task_name,model_type,io_format,n_shots,dev_acc,dev_bertscore_correct_normalized,seed
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.65573770491803,33.05758336947171,inf
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,59.14285714285714,48.08487017864273,inf
esnli,t5-base,standard,16,74.4204980842912,61.98398502193877,inf
esnli,t5-large,standard,16,86.64272030651341,72.17561050678577,inf
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.44761904761904764,0.3748029785496848,inf
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.27619047619047615,0.23053153866813295,inf
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,0.0,0.0,inf
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,32.2047619047619,26.9618177876586,inf
