,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized,seed,seed
,,,,mean,std,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,,,
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.385714285714286,2.07860824709659,32.83820584501539,1.689329159589709,4633.966666666666,2928.4209907198947
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,57.49523809523809,2.387818670782006,46.736914921942216,1.9424647620323392,4633.966666666666,2928.4209907198942
esnli,t5-base,standard,16,76.0727969348659,2.561539806250336,63.3590613157128,2.147513597863216,4633.966666666666,2928.4209907198947
esnli,t5-large,standard,16,86.52298850574714,1.8950272521606388,72.07574634059864,1.5725492559611827,4633.966666666666,2928.4209907198947
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,0.380952380952381,0.3115319473104024,0.3203485977082025,0.2611612746259363,4633.966666666666,2928.4209907198947
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,0.05714285714285714,0.11428571428571428,0.04736478754452297,0.09473556108770358,4633.966666666666,2928.4209907198942
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,0.009523809523809523,0.05128728387747145,0.007905465648287818,0.042572235393170316,4633.966666666666,2928.4209907198947
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,8.395238095238096,3.508625587710839,7.007618150540761,2.9405617264312647,4633.966666666666,2928.4209907198947
