,dev_acc,dev_bertscore_correct_normalized,model_type,task_name,seed,n_shots,io_format
59,44.0,35.78097675527845,allenai/unifiedqa-t5-base,ecqa,7356,48,unifiedqa_matching
60,58.57142857142858,47.62844800949097,allenai/unifiedqa-t5-large,ecqa,7356,48,unifiedqa_matching
61,58.57142857142858,47.62844800949097,allenai/unifiedqa-t5-large,ecqa,7356,48,unifiedqa_matching
62,58.57142857142858,47.62844800949097,allenai/unifiedqa-t5-large,ecqa,7356,48,unifiedqa_matching
63,42.285714285714285,34.39595721449171,allenai/unifiedqa-t5-base,ecqa,8975,48,unifiedqa_matching
64,42.285714285714285,34.39595721449171,allenai/unifiedqa-t5-base,ecqa,8975,48,unifiedqa_matching
65,56.57142857142857,46.02459013462067,allenai/unifiedqa-t5-large,ecqa,8975,48,unifiedqa_matching
66,56.57142857142857,46.02459013462067,allenai/unifiedqa-t5-large,ecqa,8975,48,unifiedqa_matching
67,56.57142857142857,46.02459013462067,allenai/unifiedqa-t5-large,ecqa,8975,48,unifiedqa_matching
68,43.42857142857143,35.3119866337095,allenai/unifiedqa-t5-base,ecqa,51,48,unifiedqa_matching
69,43.42857142857143,35.3119866337095,allenai/unifiedqa-t5-base,ecqa,51,48,unifiedqa_matching
70,60.0,48.75554210799081,allenai/unifiedqa-t5-large,ecqa,51,48,unifiedqa_matching
71,60.0,48.75554210799081,allenai/unifiedqa-t5-large,ecqa,51,48,unifiedqa_matching
72,60.0,48.75554210799081,allenai/unifiedqa-t5-large,ecqa,51,48,unifiedqa_matching
73,40.57142857142857,32.940824832235066,allenai/unifiedqa-t5-base,ecqa,4199,48,unifiedqa_matching
74,40.57142857142857,32.940824832235066,allenai/unifiedqa-t5-base,ecqa,4199,48,unifiedqa_matching
75,57.99999999999999,47.09239305768694,allenai/unifiedqa-t5-large,ecqa,4199,48,unifiedqa_matching
76,57.99999999999999,47.09239305768694,allenai/unifiedqa-t5-large,ecqa,4199,48,unifiedqa_matching
77,57.99999999999999,47.09239305768694,allenai/unifiedqa-t5-large,ecqa,4199,48,unifiedqa_matching
78,41.714285714285715,33.86391842365265,allenai/unifiedqa-t5-base,ecqa,4182,48,unifiedqa_matching
79,41.714285714285715,33.86391842365265,allenai/unifiedqa-t5-base,ecqa,4182,48,unifiedqa_matching
80,58.57142857142858,47.58869673524584,allenai/unifiedqa-t5-large,ecqa,4182,48,unifiedqa_matching
81,58.57142857142858,47.58869673524584,allenai/unifiedqa-t5-large,ecqa,4182,48,unifiedqa_matching
82,58.57142857142858,47.58869673524584,allenai/unifiedqa-t5-large,ecqa,4182,48,unifiedqa_matching
83,42.857142857142854,34.89712159974234,allenai/unifiedqa-t5-base,ecqa,1331,48,unifiedqa_matching
84,42.857142857142854,34.89712159974234,allenai/unifiedqa-t5-base,ecqa,1331,48,unifiedqa_matching
85,60.57142857142858,49.3329393693379,allenai/unifiedqa-t5-large,ecqa,1331,48,unifiedqa_matching
86,60.57142857142858,49.3329393693379,allenai/unifiedqa-t5-large,ecqa,1331,48,unifiedqa_matching
87,60.57142857142858,49.3329393693379,allenai/unifiedqa-t5-large,ecqa,1331,48,unifiedqa_matching
88,39.42857142857143,32.050544125693186,allenai/unifiedqa-t5-base,ecqa,2796,48,unifiedqa_matching
89,39.42857142857143,32.050544125693186,allenai/unifiedqa-t5-base,ecqa,2796,48,unifiedqa_matching
90,57.14285714285714,46.48502850532532,allenai/unifiedqa-t5-large,ecqa,2796,48,unifiedqa_matching
91,57.14285714285714,46.48502850532532,allenai/unifiedqa-t5-large,ecqa,2796,48,unifiedqa_matching
92,57.14285714285714,46.48502850532532,allenai/unifiedqa-t5-large,ecqa,2796,48,unifiedqa_matching
93,38.857142857142854,31.60015674999782,allenai/unifiedqa-t5-base,ecqa,6341,48,unifiedqa_matching
94,38.857142857142854,31.60015674999782,allenai/unifiedqa-t5-base,ecqa,6341,48,unifiedqa_matching
95,54.57142857142857,44.38563142504011,allenai/unifiedqa-t5-large,ecqa,6341,48,unifiedqa_matching
96,54.57142857142857,44.38563142504011,allenai/unifiedqa-t5-large,ecqa,6341,48,unifiedqa_matching
97,54.57142857142857,44.38563142504011,allenai/unifiedqa-t5-large,ecqa,6341,48,unifiedqa_matching
98,42.0,34.161533508981975,allenai/unifiedqa-t5-base,ecqa,7009,48,unifiedqa_matching
99,42.0,34.161533508981975,allenai/unifiedqa-t5-base,ecqa,7009,48,unifiedqa_matching
