,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized
,,,,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,37.81904761904762,2.599825565402714,30.745579977262587,2.114810493803382
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,39.04285714285714,4.061374386185286,33.51880313612166,3.758708088574721
esnli,t5-base,standard,16,74.03256704980843,2.8383700591554355,67.75083113418913,2.5858007976127406
esnli,t5-large,standard,16,84.04693486590038,1.8101864452601382,77.03829192367321,1.655242038852575
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,59.03333333333333,3.119432909681587,55.70373359833445,3.294887686372726
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,62.661904761904765,3.4627234245228466,59.80454047038442,3.655430476442241
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,55.91428571428572,2.7985905101563926,51.20107026156925,2.57169670518024
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,68.96190476190476,3.683745013469721,63.47797352586474,3.3941399037020976
