,,,,dev_acc,dev_acc,dev_bertscore_correct_normalized,dev_bertscore_correct_normalized
,,,,mean,std,mean,std
task_name,model_type,io_format,n_shots,,,,
ecqa,allenai/unifiedqa-t5-base,unifiedqa_matching,48,40.63809523809524,2.400321218110897,33.03399958553768,1.9543982778476943
ecqa,allenai/unifiedqa-t5-large,unifiedqa_matching,48,39.4769975786925,3.5565900140703697,32.238240181293286,2.8704537454609804
esnli,t5-base,standard,16,72.57183908045977,3.1185884595165816,66.25529620667983,2.875983254685851
esnli,t5-large,standard,16,84.23766058147397,1.9570686215504214,77.14530412090075,1.803738281115624
sbic,allenai/unifiedqa-t5-base,unified_qa_what_with_tags,24,30.566585956416464,6.370437501052953,29.972661478756127,6.372802519149115
sbic,allenai/unifiedqa-t5-large,unified_qa_what_with_tags,24,63.147392290249435,3.832411538635895,60.70006821025797,3.9180854554446745
sensemaking,allenai/unifiedqa-t5-base,unifiedqa_what,24,56.076190476190476,2.4874469421978502,51.30956604310445,2.2807867530561436
sensemaking,allenai/unifiedqa-t5-large,unifiedqa_what,24,68.24879614767255,3.424825943043772,62.76838445835664,3.1515754561184464
